期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),看護補助_原始值,看護補助_年增率(%),看護補助_原始值,看護補助_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),器具補助_原始值,器具補助_年增率(%),器具補助_原始值,器具補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%)
2003M01,69,...,"10,018",...,0,...,0,...,1,...,32,...,0,...,0,...,0,...,0,...,-,--,-,--,-,--,6,...,2,...,28,...,58,...,"5,800",...,3,...,935,...,2,...,"1,346",...,3,...,"1,872",...,-,--,-,--,-,--,-,--,-,--,-,--
2003M02,33,...,"3,238",...,0,...,0,...,6,...,80,...,0,...,0,...,0,...,0,...,-,--,-,--,-,--,11,...,2,...,34,...,24,...,"2,400",...,0,...,0,...,1,...,713,...,0,...,0,...,-,--,-,--,-,--,-,--,-,--,-,--
2003M03,63,...,"8,189",...,0,...,0,...,1,...,56,...,0,...,0,...,0,...,0,...,-,--,-,--,-,--,15,...,3,...,18,...,53,...,"5,300",...,2,...,348,...,4,...,"2,451",...,0,...,0,...,-,--,-,--,-,--,-,--,-,--,-,--
2003M04,64,...,"6,224",...,1,...,5,...,10,...,106,...,0,...,0,...,1,...,8,...,-,--,-,--,-,--,18,...,3,...,11,...,46,...,"4,600",...,0,...,0,...,2,...,"1,426",...,1,...,51,...,-,--,-,--,-,--,-,--,-,--,-,--
2003M05,50,...,"5,541",...,0,...,1,...,5,...,134,...,0,...,0,...,1,...,24,...,-,--,-,--,-,--,20,...,7,...,34,...,34,...,"3,400",...,2,...,"1,100",...,1,...,588,...,0,...,240,...,-,--,-,--,-,--,-,--,-,--,-,--
2003M06,48,...,"8,102",...,0,...,1,...,2,...,136,...,0,...,0,...,1,...,32,...,-,--,-,--,-,--,22,...,8,...,40,...,30,...,"3,000",...,2,...,409,...,3,...,"1,478",...,2,...,"2,983",...,-,--,-,--,-,--,-,--,-,--,-,--
2003M07,42,...,"5,350",...,0,...,1,...,3,...,152,...,1,...,8,...,0,...,24,...,-,--,-,--,-,--,26,...,3,...,19,...,29,...,"2,900",...,3,...,712,...,3,...,"1,389",...,0,...,119,...,-,--,-,--,-,--,-,--,-,--,-,--
2003M08,65,...,"6,672",...,1,...,5,...,13,...,218,...,0,...,0,...,1,...,32,...,-,--,-,--,-,--,30,...,4,...,39,...,42,...,"4,200",...,1,...,665,...,2,...,"1,426",...,1,...,58,...,-,--,-,--,-,--,-,--,-,--,-,--
2003M09,51,...,"8,107",...,0,...,5,...,2,...,202,...,0,...,0,...,0,...,32,...,-,--,-,--,-,--,32,...,6,...,36,...,34,...,"3,400",...,1,...,158,...,2,...,"1,426",...,6,...,"2,816",...,-,--,-,--,-,--,-,--,-,--,-,--
2003M10,74,...,"11,145",...,2,...,18,...,9,...,254,...,0,...,0,...,0,...,32,...,-,--,-,--,-,--,32,...,7,...,47,...,47,...,"4,700",...,4,...,"1,299",...,3,...,"1,956",...,2,...,"2,807",...,-,--,-,--,-,--,-,--,-,--,-,--
2003M11,64,...,"7,503",...,7,...,24,...,11,...,344,...,0,...,0,...,2,...,88,...,-,--,-,--,-,--,33,...,2,...,4,...,36,...,"3,600",...,3,...,"1,121",...,2,...,"1,055",...,1,...,"1,234",...,-,--,-,--,-,--,-,--,-,--,-,--
2003M12,92,...,"10,269",...,13,...,57,...,15,...,364,...,0,...,0,...,2,...,96,...,-,--,-,--,-,--,36,...,4,...,29,...,49,...,"4,900",...,5,...,"1,774",...,3,...,"2,038",...,1,...,975,...,-,--,-,--,-,--,-,--,-,--,-,--
2004M01,65,-5.80,"8,409",-16.06,5,--,19,--,10,900.00,410,"1,181.25",0,--,0,--,1,--,80,--,-,--,-,--,-,--,36,500.00,0,-100.00,0,-100.00,42,-27.59,"4,200",-27.59,4,33.33,"1,695",81.28,2,0.00,"1,124",-16.49,1,-66.67,845,-54.86,-,--,-,--,-,--,-,--,-,--,-,--
2004M02,70,112.12,"9,814",203.09,4,--,44,--,24,300.00,518,547.50,1,--,36,--,2,--,96,--,-,--,-,--,-,--,46,318.18,5,150.00,23,-32.35,27,12.50,"2,700",12.50,3,--,"1,358",--,3,200.00,"2,038",185.83,1,--,"2,954",--,-,--,-,--,-,--,-,--,-,--,-,--
