期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2002M01,"36,126",...,"22,716",...,"13,410",...,0,...,0,...,"17,733",...,"11,540",...,"6,193",...,0,...,0,...,"18,393",...,"11,176",...,"7,217",...,0,...,0,...
2002M02,"29,447",...,"22,919",...,"6,528",...,0,...,0,...,"13,844",...,"11,101",...,"2,743",...,0,...,0,...,"15,603",...,"11,818",...,"3,785",...,0,...,0,...
2002M03,"36,252",...,"25,473",...,"9,231",...,0,...,"1,548",...,"16,427",...,"12,020",...,"3,633",...,0,...,774,...,"19,825",...,"13,453",...,"5,598",...,0,...,774,...
2002M04,"56,640",...,"30,435",...,"23,411",...,0,...,"2,794",...,"27,844",...,"14,848",...,"11,599",...,0,...,"1,397",...,"28,796",...,"15,587",...,"11,812",...,0,...,"1,397",...
2002M05,"47,795",...,"30,410",...,"14,927",...,0,...,"2,458",...,"23,112",...,"14,414",...,"7,469",...,0,...,"1,229",...,"24,683",...,"15,996",...,"7,458",...,0,...,"1,229",...
2002M06,"55,797",...,"34,861",...,"16,588",...,856,...,"3,492",...,"25,941",...,"16,674",...,"7,267",...,254,...,"1,746",...,"29,856",...,"18,187",...,"9,321",...,602,...,"1,746",...
2002M07,"71,223",...,"39,168",...,"28,563",...,0,...,"3,492",...,"33,990",...,"19,022",...,"13,222",...,0,...,"1,746",...,"37,233",...,"20,146",...,"15,341",...,0,...,"1,746",...
2002M08,"86,626",...,"47,769",...,"35,979",...,0,...,"2,878",...,"42,750",...,"23,228",...,"18,083",...,0,...,"1,439",...,"43,876",...,"24,541",...,"17,896",...,0,...,"1,439",...
2002M09,"31,384",...,"15,827",...,"14,021",...,"1,282",...,254,...,"15,431",...,"7,710",...,"6,620",...,974,...,127,...,"15,953",...,"8,117",...,"7,401",...,308,...,127,...
2002M10,"44,025",...,"27,836",...,"14,955",...,0,...,"1,234",...,"21,081",...,"13,337",...,"7,127",...,0,...,617,...,"22,944",...,"14,499",...,"7,828",...,0,...,617,...
2002M11,"37,101",...,"29,951",...,"7,008",...,0,...,142,...,"17,191",...,"13,890",...,"3,230",...,0,...,71,...,"19,910",...,"16,061",...,"3,778",...,0,...,71,...
2002M12,"18,162",...,"12,061",...,"5,917",...,0,...,184,...,"9,262",...,"6,465",...,"2,705",...,0,...,92,...,"8,900",...,"5,596",...,"3,212",...,0,...,92,...
2003M01,"14,802",-59.03,"9,353",-58.83,"5,449",-59.37,0,--,0,--,"6,350",-64.19,"4,032",-65.06,"2,318",-62.57,0,--,0,--,"8,452",-54.05,"5,321",-52.39,"3,131",-56.62,0,--,0,--
2003M02,"29,211",-0.80,"14,365",-37.32,"14,846",127.42,0,--,0,--,"14,241",2.87,"6,567",-40.84,"7,674",179.77,0,--,0,--,"14,970",-4.06,"7,798",-34.02,"7,172",89.48,0,--,0,--
2003M03,"25,963",-28.38,"14,664",-42.43,"10,861",17.66,0,--,438,-71.71,"11,528",-29.82,"6,344",-47.22,"4,965",36.66,0,--,219,-71.71,"14,435",-27.19,"8,320",-38.16,"5,896",5.32,0,--,219,-71.71
2003M04,"44,542",-21.36,"24,133",-20.71,"19,367",-17.27,0,--,"1,042",-62.71,"21,397",-23.15,"11,103",-25.22,"9,773",-15.74,0,--,521,-62.71,"23,145",-19.62,"13,030",-16.40,"9,594",-18.78,0,--,521,-62.71
2003M05,"50,313",5.27,"33,325",9.59,"15,092",1.11,0,--,"1,896",-22.86,"24,250",4.92,"15,798",9.60,"7,504",0.47,0,--,948,-22.86,"26,063",5.59,"17,527",9.57,"7,588",1.74,0,--,948,-22.86
2003M06,"54,389",-2.52,"33,335",-4.38,"17,378",4.76,0,-100.00,"3,676",5.27,"25,523",-1.61,"15,867",-4.84,"7,818",7.58,0,-100.00,"1,838",5.27,"28,866",-3.32,"17,468",-3.95,"9,560",2.56,0,-100.00,"1,838",5.27
2003M07,"61,873",-13.13,"29,689",-24.20,"27,904",-2.31,0,--,"4,280",22.57,"29,725",-12.55,"14,233",-25.18,"13,352",0.98,0,--,"2,140",22.57,"32,148",-13.66,"15,456",-23.28,"14,552",-5.14,0,--,"2,140",22.57
2003M08,"55,198",-36.28,"29,847",-37.52,"21,843",-39.29,0,--,"3,508",21.89,"26,819",-37.27,"14,051",-39.51,"11,014",-39.09,0,--,"1,754",21.89,"28,379",-35.32,"15,796",-35.63,"10,829",-39.49,0,--,"1,754",21.89
2003M09,"41,605",32.57,"29,493",86.35,"10,940",-21.97,0,-100.00,"1,172",361.42,"20,109",30.32,"13,887",80.12,"5,636",-14.86,0,-100.00,586,361.42,"21,496",34.75,"15,606",92.26,"5,304",-28.33,0,-100.00,586,361.42
2003M10,"35,016",-20.46,"25,519",-8.32,"9,093",-39.20,404,--,0,-100.00,"16,766",-20.47,"12,221",-8.37,"4,354",-38.91,191,--,0,-100.00,"18,250",-20.46,"13,298",-8.28,"4,739",-39.46,213,--,0,-100.00
2003M11,"26,200",-29.38,"21,536",-28.10,"4,664",-33.45,0,--,0,-100.00,"12,864",-25.17,"10,235",-26.31,"2,629",-18.61,0,--,0,-100.00,"13,336",-33.02,"11,301",-29.64,"2,035",-46.14,0,--,0,-100.00
2003M12,"25,717",41.60,"20,822",72.64,"4,895",-17.27,0,--,0,-100.00,"12,688",36.99,"10,065",55.68,"2,623",-3.03,0,--,0,-100.00,"13,029",46.39,"10,757",92.23,"2,272",-29.27,0,--,0,-100.00
2004M01,"18,749",26.67,"10,996",17.57,"7,753",42.28,0,--,0,--,"10,319",62.50,"5,511",36.68,"4,808",107.42,0,--,0,--,"8,430",-0.26,"5,485",3.08,"2,945",-5.94,0,--,0,--
2004M02,"23,674",-18.96,"8,525",-40.65,"15,149",2.04,0,--,0,--,"11,432",-19.72,"3,064",-53.34,"8,368",9.04,0,--,0,--,"12,242",-18.22,"5,461",-29.97,"6,781",-5.45,0,--,0,--
2004M03,"23,104",-11.01,"6,327",-56.85,"16,777",54.47,0,--,0,-100.00,"11,869",2.96,"2,927",-53.86,"8,942",80.10,0,--,0,-100.00,"11,235",-22.17,"3,400",-59.13,"7,835",32.89,0,--,0,-100.00
2004M04,"17,552",-60.59,"1,628",-93.25,"15,924",-17.78,0,--,0,-100.00,"8,145",-61.93,504,-95.46,"7,641",-21.82,0,--,0,-100.00,"9,407",-59.36,"1,124",-91.37,"8,283",-13.66,0,--,0,-100.00
2004M05,"16,059",-68.08,"7,236",-78.29,"7,332",-51.42,0,--,"1,491",-21.36,"7,182",-70.38,"3,155",-80.03,"3,265",-56.49,0,--,762,-19.62,"8,877",-65.94,"4,081",-76.72,"4,067",-46.40,0,--,729,-23.10
2004M06,"34,041",-37.41,"23,088",-30.74,"7,711",-55.63,0,--,"3,242",-11.81,"15,930",-37.59,"10,984",-30.77,"3,257",-58.34,0,--,"1,689",-8.11,"18,111",-37.26,"12,104",-30.71,"4,454",-53.41,0,--,"1,553",-15.51
2004M07,"61,469",-0.65,"26,300",-11.42,"28,141",0.85,0,--,"7,028",64.21,"29,331",-1.33,"11,960",-15.97,"13,868",3.86,0,--,"3,503",63.69,"32,138",-0.03,"14,340",-7.22,"14,273",-1.92,0,--,"3,525",64.72
2004M08,"56,243",1.89,"29,602",-0.82,"18,247",-16.46,839,--,"7,555",115.36,"26,651",-0.63,"13,679",-2.65,"8,638",-21.57,400,--,"3,934",124.29,"29,592",4.27,"15,923",0.80,"9,609",-11.27,439,--,"3,621",106.44
2004M09,"41,144",-1.11,"20,964",-28.92,"14,569",33.17,0,--,"5,611",378.75,"20,219",0.55,"9,516",-31.48,"7,549",33.94,0,--,"3,154",438.23,"20,925",-2.66,"11,448",-26.64,"7,020",32.35,0,--,"2,457",319.28
2004M10,"33,848",-3.34,"21,019",-17.63,"9,740",7.12,844,108.91,"2,245",--,"16,241",-3.13,"9,833",-19.54,"4,676",7.40,422,120.94,"1,310",--,"17,607",-3.52,"11,186",-15.88,"5,064",6.86,422,98.12,935,--
2004M11,"17,613",-32.77,"12,705",-41.01,"4,908",5.23,0,--,0,--,"8,349",-35.10,"6,172",-39.70,"2,177",-17.19,0,--,0,--,"9,264",-30.53,"6,533",-42.19,"2,731",34.20,0,--,0,--
