期間,總指數_原始值,總指數_年增率(%),依內外銷-一、內銷品_原始值,依內外銷-一、內銷品_年增率(%),(一)國產內銷品_原始值,(一)國產內銷品_年增率(%),(二)進口品_原始值,(二)進口品_年增率(%),依內外銷--二、出口品_原始值,依內外銷--二、出口品_年增率(%),依產地來源--一、國產品_原始值,依產地來源--一、國產品_年增率(%),依產地來源--二、進口品_原始值,依產地來源--二、進口品_年增率(%)
1981M01,83.07,-,72.14,-,72.52,-,82.91,-,112.64,-,-,-,82.91,-
1981M02,83.62,-,72.74,-,73.26,-,82.93,-,112.80,-,-,-,82.93,-
1981M03,84.21,-,73.31,-,73.97,-,83.35,-,113.32,-,-,-,83.35,-
1981M04,84.39,-,73.31,-,73.91,-,83.45,-,114.34,-,-,-,83.45,-
1981M05,84.12,-,73.00,-,73.58,-,82.63,-,114.36,-,-,-,82.63,-
1981M06,83.95,-,72.92,-,73.58,-,82.10,-,113.81,-,-,-,82.10,-
1981M07,83.73,-,72.76,-,73.48,-,81.23,-,113.31,-,-,-,81.23,-
1981M08,84.37,-,72.84,-,73.56,-,82.65,-,116.42,-,-,-,82.65,-
1981M09,84.55,-,72.90,-,73.59,-,83.66,-,117.28,-,-,-,83.66,-
1981M10,84.29,-,72.76,-,73.58,-,83.44,-,116.50,-,-,-,83.44,-
1981M11,84.10,-,72.63,-,73.43,-,82.62,-,115.98,-,-,-,82.62,-
1981M12,84.12,-,72.69,-,73.51,-,82.43,-,115.83,-,-,-,82.43,-
1982M01,83.81,0.89,72.70,0.78,73.65,1.56,81.57,-1.62,114.10,1.30,-,-,81.57,-1.62
1982M02,83.83,0.25,72.53,-0.29,73.39,0.18,81.23,-2.05,115.04,1.99,-,-,81.23,-2.05
1982M03,83.88,-0.39,72.60,-0.97,73.50,-0.64,81.10,-2.70,115.01,1.49,-,-,81.10,-2.70
1982M04,84.04,-0.41,72.68,-0.86,73.58,-0.45,81.05,-2.88,115.48,1.00,-,-,81.05,-2.88
1982M05,84.37,0.30,72.83,-0.23,73.70,0.16,81.69,-1.14,116.47,1.85,-,-,81.69,-1.14
1982M06,84.12,0.20,72.50,-0.58,73.27,-0.42,81.90,-0.24,116.82,2.64,-,-,81.90,-0.24
